,YEAR,EXPERIENCE,EMPLOYMENT,TITLE,LOCATION,COMPANYSIZE,SALARY
0,2023,Entry Level,Full time,Applied Scientist,US,Large,213660
1,2023,Entry Level,Full time,Applied Scientist,US,Large,130760
2,2023,Entry Level,Full time,Data Quality Analyst,NG,Large,100000
3,2023,Entry Level,Full time,Compliance Data Analyst,NG,Large,30000
4,2023,Entry Level,Full time,Applied Scientist,US,Large,204620
5,2023,Entry Level,Full time,Applied Scientist,US,Large,110680
6,2023,Entry Level,Full time,Machine Learning Engineer,US,Medium,163196
7,2023,Entry Level,Full time,Machine Learning Engineer,US,Medium,145885
8,2023,Entry Level,Full time,Research Scientist,US,Large,220000
9,2023,Entry Level,Full time,Data Engineer,US,Medium,85000
10,2023,Entry Level,Full time,Data Engineer,US,Medium,65000
11,2023,Entry Level,Full time,Data Analyst,US,Medium,75000
12,2023,Entry Level,Full time,Data Analyst,US,Medium,70000
13,2023,Entry Level,Full time,Data Analyst,US,Medium,85000
15,2023,Entry Level,Full time,Data Engineer,IN,Large,17022
18,2023,Entry Level,Full time,Data Analyst,CA,Large,40663
19,2023,Entry Level,Full time,Data Scientist,CA,Large,51753
20,2023,Entry Level,Full time,Data Scientist,US,Medium,130001
21,2023,Entry Level,Full time,Data Scientist,US,Medium,71907
26,2023,Entry Level,Full time,BI Data Engineer,US,Medium,60000
29,2023,Entry Level,Full time,Research Engineer,US,Medium,155000
30,2023,Entry Level,Full time,Research Engineer,US,Medium,125000
33,2023,Entry Level,Full time,Data Analyst,US,Medium,64200
34,2023,Entry Level,Full time,Data Analyst,US,Medium,56100
35,2023,Entry Level,Full time,Data Engineer,US,Medium,92700
36,2023,Entry Level,Full time,Data Engineer,US,Medium,61800
37,2023,Entry Level,Full time,Business Data Analyst,ES,Medium,21461
38,2023,Entry Level,Full time,Research Engineer,US,Medium,160000
39,2023,Entry Level,Full time,Research Engineer,US,Medium,120000
40,2023,Entry Level,Full time,Autonomous Vehicle Technician,GH,Small,7000
41,2023,Entry Level,Full time,Applied Machine Learning Scientist,DE,Medium,42923
42,2023,Entry Level,Full time,Data Scientist,US,Medium,190000
43,2023,Entry Level,Full time,Data Scientist,US,Medium,120000
44,2023,Entry Level,Full time,Data Scientist,CH,Large,121093
49,2023,Entry Level,Full time,Data Engineer,US,Medium,62000
50,2023,Entry Level,Full time,Data Engineer,US,Medium,58000
51,2023,Entry Level,Full time,Data Engineer,US,Medium,125000
52,2023,Entry Level,Full time,Data Engineer,US,Medium,90000
53,2023,Entry Level,Full time,Data Analyst,US,Medium,95000
55,2023,Entry Level,Full time,Data Engineer,US,Medium,115100
56,2023,Entry Level,Full time,Data Engineer,US,Medium,73900
57,2023,Entry Level,Full time,AI Programmer,AU,Large,70000
58,2023,Entry Level,Full time,AI Developer,SE,Medium,80000
59,2023,Entry Level,Full time,Research Scientist,US,Medium,150000
60,2023,Entry Level,Full time,Research Scientist,US,Medium,100000
62,2023,Entry Level,Full time,Data Analyst,US,Medium,60000
65,2023,Entry Level,Full time,AI Developer,DE,Large,214618
66,2023,Entry Level,Full time,Data Analyst,US,Large,100000
67,2023,Entry Level,Full time,Data Analyst,US,Medium,150000
68,2023,Entry Level,Full time,Data Analyst,US,Medium,100000
73,2023,Entry Level,Full time,Data Analyst,IN,Medium,30000
74,2023,Entry Level,Full time,Computer Vision Engineer,US,Medium,220000
75,2023,Entry Level,Full time,AI Developer,DE,Medium,64385
76,2023,Entry Level,Full time,Data Analyst,US,Medium,55000
77,2023,Entry Level,Full time,Data Analyst,US,Medium,48000
78,2023,Entry Level,Part time,Data Analyst,IN,Large,17779
79,2023,Entry Level,Full time,Data Scientist,BR,Large,19522
82,2023,Entry Level,Full time,Research Engineer,GB,Medium,120000
83,2023,Entry Level,Full time,Research Engineer,GB,Medium,60000
84,2023,Entry Level,Full time,Data Analyst,US,Large,60000
85,2023,Entry Level,Full time,Data Analyst,US,Large,50000
86,2023,Entry Level,Full time,Data Scientist,IN,Large,9727
89,2023,Entry Level,Full time,Data Engineer,VN,Large,12000
93,2023,Entry Level,Full time,Data Scientist,US,Small,110000
94,2023,Entry Level,Full time,Data Scientist,IN,Large,12767
95,2023,Entry Level,Full time,Data Engineer,DE,Large,26827
96,2023,Entry Level,Full time,BI Developer,US,Medium,160000
97,2023,Entry Level,Full time,BI Developer,US,Medium,100000
98,2023,Entry Level,Full time,Big Data Engineer,SE,Small,130000
99,2023,Entry Level,Full time,Data Engineer,US,Medium,160000
100,2023,Entry Level,Full time,Data Engineer,US,Medium,135000
101,2023,Entry Level,Full time,Data Analyst,US,Small,30000
102,2023,Entry Level,Full time,Data Scientist,US,Medium,124234
103,2023,Entry Level,Full time,Data Scientist,US,Medium,74540
104,2023,Entry Level,Full time,Data Scientist,IN,Small,12888
105,2023,Entry Level,Full time,AI Developer,BA,Small,120000
106,2023,Entry Level,Full time,Business Data Analyst,GR,Large,12877
109,2023,Entry Level,Full time,Data Scientist,US,Medium,50000
114,2023,Entry Level,Full time,Deep Learning Engineer,US,Medium,150000
115,2023,Entry Level,Full time,Deep Learning Engineer,US,Medium,120000
118,2023,Experienced,Full time,Data Scientist,US,Medium,258750
119,2023,Experienced,Full time,Data Scientist,US,Medium,185000
120,2023,Experienced,Full time,Data Engineer,US,Medium,220000
121,2023,Experienced,Full time,Data Engineer,US,Medium,205000
122,2023,Experienced,Full time,Head of Data,US,Medium,329500
123,2023,Experienced,Full time,Head of Data,US,Medium,269600
124,2023,Experienced,Full time,Data Engineer,US,Medium,145000
125,2023,Experienced,Full time,Data Engineer,US,Medium,115000
126,2023,Experienced,Full time,Data Engineer,US,Medium,175000
127,2023,Experienced,Full time,Data Engineer,US,Medium,110000
128,2023,Experienced,Full time,Analytics Engineer,US,Medium,221000
129,2023,Experienced,Full time,Analytics Engineer,US,Medium,153000
130,2023,Experienced,Full time,Data Scientist,US,Medium,200000
131,2023,Experienced,Full time,Data Scientist,US,Medium,145000
132,2023,Experienced,Full time,Data Architect,US,Medium,180000
133,2023,Experienced,Full time,Data Architect,US,Medium,155000
134,2023,Experienced,Full time,Data Engineer,US,Medium,286000
135,2023,Experienced,Full time,Data Engineer,US,Medium,207000
136,2023,Experienced,Full time,Director of Data Science,US,Medium,353200
137,2023,Experienced,Full time,Director of Data Science,US,Medium,249300
139,2023,Experienced,Full time,Data Scientist,US,Medium,100000
140,2023,Experienced,Full time,Data Engineer,US,Medium,265000
141,2023,Experienced,Full time,Data Engineer,US,Medium,235000
142,2023,Experienced,Full time,Data Engineer,US,Medium,194500
143,2023,Experienced,Full time,Data Engineer,US,Medium,115500
146,2023,Experienced,Full time,Data Engineer,US,Medium,210914
147,2023,Experienced,Full time,Data Engineer,US,Medium,116704
148,2023,Experienced,Full time,Data Engineer,US,Medium,167500
149,2023,Experienced,Full time,Data Engineer,US,Medium,106500
150,2023,Experienced,Full time,Data Engineer,US,Medium,310000
151,2023,Experienced,Full time,Data Engineer,US,Medium,239000
154,2023,Experienced,Full time,Head of Data Science,GB,Medium,160288
155,2023,Experienced,Full time,Head of Data Science,GB,Medium,127467
159,2023,Experienced,Full time,Data Engineer,US,Medium,210000
162,2023,Experienced,Full time,Data Engineer,US,Medium,284000
163,2023,Experienced,Full time,Data Engineer,US,Medium,236000
164,2023,Experienced,Full time,Data Analytics Manager,US,Medium,155000
165,2023,Experienced,Full time,Data Analytics Manager,US,Medium,140000
168,2023,Experienced,Full time,Head of Data Science,US,Medium,314100
169,2023,Experienced,Full time,Head of Data Science,US,Medium,195800
170,2023,Experienced,Full time,Data Engineer,US,Medium,200000
174,2023,Experienced,Full time,Data Scientist,US,Medium,300000
176,2023,Experienced,Full time,Data Engineer,US,Medium,196200
177,2023,Experienced,Full time,Data Engineer,US,Medium,150900
178,2023,Mid Level,Contractor,ML Engineer,US,Small,30000
179,2023,Mid Level,Contractor,ML Engineer,US,Small,25500
180,2023,Mid Level,Full time,Data Analyst,US,Medium,150000
181,2023,Mid Level,Full time,Data Analyst,US,Medium,110000
182,2023,Mid Level,Full time,Data Engineer,US,Medium,162500
183,2023,Mid Level,Full time,Data Engineer,US,Medium,130000
184,2023,Mid Level,Full time,Data Analyst,US,Medium,105380
185,2023,Mid Level,Full time,Data Analyst,US,Medium,64500
186,2023,Mid Level,Full time,Data Scientist,HK,Large,65062
187,2023,Mid Level,Full time,Applied Machine Learning Engineer,DE,Small,69751
188,2023,Mid Level,Full time,Machine Learning Engineer,NL,Large,96578
189,2023,Mid Level,Full time,Data Analytics Manager,US,Medium,155000
190,2023,Mid Level,Full time,Data Analytics Manager,US,Medium,140000
191,2023,Mid Level,Full time,Data Engineer,US,Medium,100000
192,2023,Mid Level,Full time,Data Engineer,US,Medium,70000
195,2023,Mid Level,Full time,Business Data Analyst,US,Large,105000
196,2023,Mid Level,Full time,Applied Data Scientist,IN,Large,20670
197,2023,Mid Level,Full time,Data Analyst,GB,Medium,46178
198,2023,Mid Level,Full time,Data Analyst,GB,Medium,42533
201,2023,Mid Level,Full time,Data Scientist,GB,Medium,66837
202,2023,Mid Level,Full time,Data Scientist,GB,Medium,54685
203,2023,Mid Level,Full time,ETL Engineer,GB,Medium,85066
204,2023,Mid Level,Full time,ETL Engineer,GB,Medium,57723
205,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,300000
206,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,250000
207,2023,Mid Level,Full time,Research Engineer,US,Medium,230000
208,2023,Mid Level,Full time,Research Engineer,US,Medium,200000
209,2023,Mid Level,Full time,Data Engineer,US,Medium,180000
211,2023,Mid Level,Full time,AI Developer,FI,Medium,75020
212,2023,Mid Level,Full time,AI Developer,US,Medium,200000
213,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,280700
214,2023,Mid Level,Full time,Machine Learning Engineer,US,Medium,150450
215,2023,Mid Level,Full time,Data Scientist,US,Medium,93918
216,2023,Mid Level,Full time,Data Scientist,US,Medium,51962
